Team Number,Advisor,Problem,Ranking,Institution ID
32240,Shao Linlin,A,Successful Participant,47
32241,Shao Linlin,A,Successful Participant,47
32242,Shao Linlin,C,Honorable Mention,47
32243,Liangjian Hu,B,Successful Participant,48
32244,Shao Linlin,A,Honorable Mention,47
32245,Shao Linlin,C,Honorable Mention,47
32246,Shao Linlin,B,Meritorious,47
32247,Liu Yulong,A,Successful Participant,47
32248,Liu Yulong,A,Successful Participant,47
32249,Liu Yulong,B,Honorable Mention,47
32250,Liu Yulong,A,Honorable Mention,47
32251,Liu Yulong,A,Honorable Mention,47
32252,Liu Yulong,B,Honorable Mention,47
32253,Liu Yulong,B,Honorable Mention,47
32254,Liu Yulong,A,Successful Participant,47
32255,Liu Yulong,D,Honorable Mention,47
32256,Liu Yulong,B,Successful Participant,47
32257,Gao Dongxu,A,Successful Participant,47
32258,Gao Dongxu,A,Successful Participant,47
32259,Gao Dongxu,D,Meritorious,47
32260,Gao Dongxu,A,Successful Participant,47
32261,Gao Dongxu,A,Successful Participant,47
32262,Gao Dongxu,B,Successful Participant,47
32263,Gao Dongxu,D,Honorable Mention,47
32264,Gao Dongxu,A,Successful Participant,47
32265,Gao Dongxu,A,Honorable Mention,47
32266,Gao Dongxu,B,Successful Participant,47
32267,Yanhui Guan,D,Meritorious,28
32268,Fanqiu Kong,A,Successful Participant,42
32269,Fanqiu Kong,B,Successful Participant,42
32270,Wei Zhang,A,Successful Participant,49
32271,Yingzhe Wang,A,Successful Participant,50
32272,Yazhen Sun,A,Successful Participant,37
32273,Qicheng Xu,B,Successful Participant,37
32274,Shuxian Miao,A,Successful Participant,37
32276,Zewen Wang,A,Successful Participant,51
32277,Yuan Cao,B,Successful Participant,26
32278,Meng Zhang,A,Successful Participant,35
32279,Zhihong Luo,A,Successful Participant,28
32280,Zhihong Luo,A,Honorable Mention,28
32281,Zhenglu Jiang,A,Honorable Mention,28
32282,Changchun Sun,A,Successful Participant,37
32283,Changchun Sun,A,Honorable Mention,37
32284,Qicheng Xu,A,Successful Participant,37
32285,Qicheng Xu,A,Successful Participant,37
32286,Qicheng Xu,A,Successful Participant,37
32287,Zhenguo Xu,A,Honorable Mention,52
32288,Tao Ren,A,Successful Participant,53
32289,Jiangrong Chen,D,Honorable Mention,53
32291,Tao Ren,B,Successful Participant,53
32292,Jiangrong Chen,B,Successful Participant,53
32293,Tao Ren,B,Successful Participant,53
32294,Jiangrong Chen,A,Successful Participant,53
32295,Tao Ren,A,Successful Participant,53
32296,Yacong Zhang,A,Honorable Mention,54
32297,Hanzhi Zhang,A,Honorable Mention,55
32298,JUNFENG YIN,A,Successful Participant,22
32299,wenyu zhang,B,Successful Participant,56
32300,Jiangrong Chen,A,Honorable Mention,53
32301,Dong Zhang,A,Honorable Mention,57
32302,Xie Xie,B,Successful Participant,58
32303,Taishan Zeng,A,Honorable Mention,33
32304,Shu long Li,B,Successful Participant,59
32305,XiLian Wang,A,Honorable Mention,60
32306,Xin Jing,A,Successful Participant,37
32307,Qicheng Xu,A,Successful Participant,37
32308,Qicheng Xu,A,Successful Participant,37
32309,Changchun Sun,A,Successful Participant,37
32310,Shuxian Miao,A,Successful Participant,37
32311,Shuxian Miao,A,Honorable Mention,37
32312,Yuanming Hu,D,Honorable Mention,25
32313,Liuqiang Zhong,A,Honorable Mention,33
32314,Luo Kun,A,Successful Participant,3
32315,Guoyan Chen,B,Successful Participant,61
32316,Guoyan Chen,B,Successful Participant,61
32317,Guoyan Chen,A,Honorable Mention,61
32318,Guoyan Chen,D,Meritorious,61
32319,Guoyan Chen,A,Honorable Mention,61
32320,Guoyan Chen,B,Successful Participant,61
32321,Guoyan Chen,B,Successful Participant,61
32322,Debo Fu,A,Successful Participant,62
32323,Xiangguan Liu,B,Honorable Mention,63
32324,Meisong Tong,A,Honorable Mention,22
32325,Yongdao Zhou,B,Successful Participant,3
32326,XUMING YI,A,Honorable Mention,25
32327,Zhongming Ma,D,Meritorious,64
32328,feng Jiang,A,Honorable Mention,65
32329,Jiangrong Chen,D,Honorable Mention,53
32330,Jiangrong Chen,D,Successful Participant,53
32331,Jiangrong Chen,A,Successful Participant,53
32332,Jiangrong Chen,A,Successful Participant,53
32333,Jiangrong Chen,A,Honorable Mention,53
32334,Jiangrong Chen,D,Honorable Mention,53
32335,HUI PENG,B,Meritorious,25
32336,Tao Ren,A,Successful Participant,53
32337,Tao Ren,A,Successful Participant,53
32338,Tao Ren,D,Successful Participant,53
32339,Tao Ren,D,Successful Participant,53
32340,Yongming Liu,B,Successful Participant,66
32341,Ming Ying Lisa Chu,A,Honorable Mention,13
32342,Ming Ying Lisa Chu,A,Successful Participant,13
32343,Ming Ying Lisa Chu,A,Successful Participant,13
32344,Liang liang Ma,A,Honorable Mention,46
32345,Jun Wang,A,Successful Participant,22
32346,Jiajun Zhang,D,Honorable Mention,28
32347,Shunyong Li,A,Honorable Mention,27
32348,Chengbo Zhai,B,Successful Participant,27
32349,Chun-Song Bai,B,Honorable Mention,67
32350,Xu Chuan You,A,Successful Participant,67
32351,Tang Jian,A,Successful Participant,68
32352,ge xin tong,A,Successful Participant,68
32353,Jiajun Zhang,D,Successful Participant,28
32354,Duping Yuan,A,Honorable Mention,69
32355,Jinglai Li,B,Meritorious,69
32356,Qian Guan,A,Successful Participant,47
32357,Tao Ren,D,Successful Participant,53
32358,Tao Ren,C,Successful Participant,53
32359,Yunlong Sun,B,Honorable Mention,16
32360,Tao Ren,D,Successful Participant,53
32361,Tao Ren,B,Successful Participant,53
32362,Tao Ren,B,Successful Participant,53
32363,Xiao-Jia Liu,A,Successful Participant,58
32364,Chang-Xing Li,A,Honorable Mention,58
32365,Yijun He,B,Successful Participant,27
32366,xiaomin wang,A,Successful Participant,69
32367,Di Liu,B,Successful Participant,27
32368,Liling Xie,A,Meritorious,33
32369,Zhenglu Jiang,B,Honorable Mention,28
32370,Xiaohong Zhang,A,Successful Participant,70
32371,Xin Wang,A,Successful Participant,71
32372,wanyi li,A,Successful Participant,6
32373,Tao Ding,B,Successful Participant,72
32374,xiaomin wang,A,Successful Participant,69
32375,Peter Loth,A,Successful Participant,73
32376,Peter Loth,B,Successful Participant,73
32377,Yanmao Chen,A,Meritorious,74
32378,Zhibin Xiong,A,Successful Participant,33
32379,ShuHua Mao,B,Successful Participant,75
32380,Jian Xiao,A,Successful Participant,31
32381,Jianmei Shuai,B,Successful Participant,20
32382,xiaomin wang,D,Successful Participant,69
32383,yaosheng Li,A,Honorable Mention,76
32384,Xuesen Yang,A,Successful Participant,77
32385,Xiaobing Ma,A,Finalist,78
32386,Wei Xu,A,Meritorious,44
32387,xiaomin wang,D,Honorable Mention,69
32388,Guoliang Yang,A,Successful Participant,41
32389,Shenghong Li,B,Meritorious,63
32390,Baoyun Wang,A,Successful Participant,79
32391,Shangzhi Li,B,Finalist,1
32392,LI LIU,A,Meritorious,6
32393,Ivan Corwin,B,Honorable Mention,80
32394,weifeng zhang,C,Successful Participant,81
32395,Yonghui Wang,A,Successful Participant,32
32396,Yang Li,A,Honorable Mention,32
32397,Chunfu Jia,A,Honorable Mention,9
32399,Qicheng Xu,A,Successful Participant,37
32400,Qicheng Xu,A,Successful Participant,37
32401,Fei Wang,D,Successful Participant,34
32402,Liang Chen,D,Honorable Mention,48
32403,jian ye an,D,Honorable Mention,14
32404,Guocan Feng,B,Meritorious,28
32405,Yi Li,A,Honorable Mention,16
32406,Yanhui Guan,D,Honorable Mention,28
32407,Yanhui Guan,A,Honorable Mention,28
32408,Qinghui Zhang,A,Meritorious,28
32409,Baoyun Wang,B,Successful Participant,79
32410,Baoyun Wang,A,Successful Participant,79
32411,Yang Wu,B,Successful Participant,25
32412,xiaomin wang,D,Successful Participant,69
32413,Baoyun Wang,A,Successful Participant,79
32414,qian wang,A,Successful Participant,82
32415,Baoyun Wang,A,Successful Participant,79
32416,Qinghui Zhang,C,Successful Participant,28
32417,Yi Xue,C,Honorable Mention,83
32418,Tiefeng Ma,A,Successful Participant,16
32419,Xingming Shu,A,Successful Participant,71
32420,jialiang Xiang,D,Honorable Mention,22
32421,Li Sun,B,Honorable Mention,84
32422,Zhujun Fan,A,Successful Participant,28
32423,Wenyi Chai,B,Honorable Mention,41
32424,xiaomin wang,A,Honorable Mention,69
32425,Jinping Jia,A,Successful Participant,85
32426,Jun Zhang,D,Honorable Mention,86
32427,Jinping Jia,A,Successful Participant,85
32428,Jinping Jia,B,Successful Participant,85
32429,Jinping Jia,A,Successful Participant,85
32430,Qingquan Wang,A,Honorable Mention,87
32431,Jinping Jia,B,Successful Participant,85
32432,Yongming Liu,B,Honorable Mention,66
32433,Lizhuo ZHANG,A,Honorable Mention,41
32434,Xiaoqin Zhang,A,Successful Participant,27
32435,Zengchang Qin,C,Successful Participant,1
32436,Bing Li,A,Meritorious,88
32437,Dai Dai,A,Honorable Mention,16
32438,Jianfen Feng,A,Honorable Mention,89
32439,Guozhen Zhang,A,Honorable Mention,27
32440,Jiangrong Chen,A,Successful Participant,53
32441,Jiangrong Chen,B,Successful Participant,53
32442,Jiangrong Chen,A,Honorable Mention,53
32443,Jiangrong Chen,A,Successful Participant,53
32444,Jiangrong Chen,A,Honorable Mention,53
32446,Jiangrong Chen,B,Successful Participant,53
32447,Chengdong Dong,A,Successful Participant,90
32448,Weiyong Yang,A,Honorable Mention,41
32450,Yong Wang,A,Successful Participant,91
32451,Guoqing Yang,B,Successful Participant,22
32452,Mengping Tao,A,Successful Participant,92
32453,Ying Liu,D,Successful Participant,41
32454,Mingming Wang,A,Successful Participant,41
32455,Zhujun Fan,A,Successful Participant,28
32456,dai DAI,A,Successful Participant,16
32457,Ting Li,A,Successful Participant,93
32458,Yuqiang Li,A,Honorable Mention,66
32459,Weiqi Luo,A,Honorable Mention,28
32460,Jinping Jia,B,Successful Participant,85
32461,Guocan Feng,A,Successful Participant,28
32462,Yungang Wei,C,Honorable Mention,50
32463,HaiYun Zhang,D,Successful Participant,41
32464,Mingxi Wang,D,Honorable Mention,41
32466,Bin Wu,B,Meritorious,6
32467,Xiaobing Ma,B,Honorable Mention,78
32468,JUN-YI ZHENG,B,Honorable Mention,41
32469,Yasheng Zou,A,Successful Participant,41
32470,FANRUILIN ZENG,D,Meritorious,94
32471,Haizhang Zhang,A,Successful Participant,5
32472,Zhijie Cai,A,Honorable Mention,26
32473,Shuangbao Li,A,Honorable Mention,95
32474,fang yi,A,Meritorious,96
32475,Ming Ying Lisa Chu,A,Successful Participant,13
32476,Ming Ying Lisa Chu,A,Successful Participant,13
32477,Ming Ying Lisa Chu,A,Successful Participant,13
32478,Guisong Chang,D,Honorable Mention,97
32479,Xianliang Hu,A,Successful Participant,63
32480,Sun yunlong,B,Finalist,16
32481,Yuehui Zhang,A,Successful Participant,69
32482,yunlong sun,B,Honorable Mention,16
32483,Jijun Liu,A,Successful Participant,98
32484,Bing Li,A,Successful Participant,41
32485,lin zhang,A,Honorable Mention,6
32486,Yuantao Xie,D,Successful Participant,41
32487,Mingming Wang,D,Honorable Mention,41
32488,Sheng Chang,A,Meritorious,25
32489,Weifen Zhuang,D,Successful Participant,99
32490,Zhijie Cai,A,Meritorious,26
32491,Junhao Hu,A,Honorable Mention,30
32492,Junhao Hu,A,Successful Participant,30
32493,LIQI JIANG,D,Honorable Mention,100
32494,KE WANG,A,Honorable Mention,101
32495,Qiang Yao,B,Honorable Mention,66
32496,Rujun Wang,A,Successful Participant,102
32497,Xuewen Li,A,Honorable Mention,103
32498,Lizhuo Zhang,C,Honorable Mention,41
32499,LIXIN LIU,D,Meritorious,41
32500,QIANG ZHANG,A,Unsuccessful,57
32502,Mingxi Wang,A,Successful Participant,41
32503,MINGXI WANG,C,Successful Participant,41
32504,Wang Hongzhou,B,Honorable Mention,103
32505,Zongtian Wei,A,Successful Participant,104
32506,Zongtian Wei,C,Successful Participant,104
32507,weihong wang,D,Honorable Mention,105
32508,Zongtian Wei,D,Honorable Mention,104
32509,Zongtian Wei,D,Honorable Mention,104
32510,Zongtian Wei,D,Honorable Mention,104
32511,Zongtian Wei,C,Successful Participant,104
32512,Biao Ma,C,Successful Participant,48
32513,Biao Ma,B,Successful Participant,48
32514,Lizhuo Zhang,A,Honorable Mention,41
32515,dai dai,C,Honorable Mention,106
32516,Yan Li,D,Honorable Mention,41
32517,Meisong Tong,A,Successful Participant,22
32518,xiaomin wang,A,Honorable Mention,69
32519,xiaomin wang,A,Meritorious,69
32520,ZhiChao SHAO,A,Honorable Mention,41
32521,xiaomin wang,A,Successful Participant,69
32522,xiaomin wang,A,Meritorious,69
32523,xiaomin wang,B,Successful Participant,69
32524,Guoqing Zhang,B,Successful Participant,107
32525,Dan Tang,A,Successful Participant,108
32526,Shaowen Li,D,Meritorious,109
32527,Meisong Tong,A,Successful Participant,22
32528,Meisong Tong,A,Successful Participant,22
32529,Tao Ren,A,Successful Participant,53
32530,Jing Xu,D,Successful Participant,41
32531,Tao Ren,D,Honorable Mention,53
32532,Ying Liu,A,Successful Participant,110
32533,Lizhuo Zhang,A,Successful Participant,41
32534,Tao Ren,B,Honorable Mention,53
32535,Tao Ren,A,Successful Participant,53
32536,Tao Ren,A,Successful Participant,53
32537,Chao Wang,A,Successful Participant,9
32538,Tao Ren,B,Successful Participant,53
32539,Xiaoyan Zhang,A,Honorable Mention,41
32540,Tao Ren,B,Successful Participant,53
32541,Tao Ren,A,Successful Participant,53
32542,Tao Ren,C,Honorable Mention,53
32543,Qin Huang,B,Meritorious,1
32544,Dong Yang,A,Meritorious,57
32545,Shaowen Li,A,Successful Participant,16
32546,Shixiao Xiao,A,Successful Participant,111
32547,Dongmei Yang,D,Honorable Mention,41
32548,Liang Li,A,Successful Participant,41
32549,Mei Dong,A,Successful Participant,112
32550,Jiankui Yang,A,Successful Participant,6
32551,Xiong Du,A,Honorable Mention,31
32552,Yi Xue,D,Honorable Mention,41
32553,Jing Xu,A,Honorable Mention,113
32554,XinHua Jiang,A,Honorable Mention,114
32555,Lan Ding,D,Honorable Mention,41
32556,Xianlin Jiang,B,Successful Participant,41
32557,xiaomin wang,A,Successful Participant,69
32558,xiaomin wang,A,Successful Participant,69
32559,xiaomin wang,A,Honorable Mention,69
32560,xiaomin wang,A,Honorable Mention,69
32561,xiaomin wang,A,Successful Participant,69
32562,Xiaoyong Cao,D,Successful Participant,115
32563,Xiaoqun Zhang,D,Honorable Mention,116
32564,su yan ling,B,Successful Participant,117
32565,Xiaowei Chen,A,Honorable Mention,9
32566,Yongdao Zhou,D,Honorable Mention,118
32567,Jin Liang,A,Honorable Mention,22
32568,chenyang wang,A,Successful Participant,41
32569,Tianyi Wang,A,Honorable Mention,41
32570,Yanhui Li,A,Successful Participant,28
32571,Jian Liu,A,Successful Participant,20
32572,Jianye Yan,A,Meritorious,41
32573,Yuzhuo Zhang,A,Successful Participant,41
32574,Zhibing Li,D,Honorable Mention,119
32575,Dongliang Cai,B,Successful Participant,16
32576,LIZHUO ZHANG,B,Honorable Mention,120
32577,Meisong Tong,A,Successful Participant,22
32578,Xiangzhong Fang,A,Successful Participant,47
32579,WeiXing WU,B,Honorable Mention,41
32580,WeiXing WU,A,Successful Participant,41
32581,Xiping Liu,B,Honorable Mention,107
32582,xiaochang zhang,A,Meritorious,113
32583,Chengyuan Yin,B,Honorable Mention,8
32584,Jianxin Zhu,A,Meritorious,63
32585,Baodong Liu,A,Successful Participant,121
32586,xiaomin wang,D,Meritorious,69
32587,xiaomin wang,B,Meritorious,69
32588,xiaomin wang,A,Successful Participant,69
32590,Shikun Xu,A,Honorable Mention,41
32591,Dan Tang,D,Honorable Mention,41
32592,Xuefeng Yin,A,Honorable Mention,22
32593,Yongming Liu,B,Successful Participant,66
32594,Lizhuo ZHANG,B,Honorable Mention,41
32595,Chun Li,A,Meritorious,57
32597,Chao Yu,D,Successful Participant,41
32598,Rong Zhou,B,Successful Participant,3
32599,Hua Tian,A,Meritorious,6
32600,Yan Yu,A,Honorable Mention,93
32601,Tiansi ZHANG,B,Successful Participant,107
32602,Jingheng Cai,A,Successful Participant,28
32603,Jingheng Cai,B,Successful Participant,28
32604,Guimei Luo,B,Honorable Mention,122
32605,Lemin Wu,A,Honorable Mention,47
32606,Xiaoqi Feng,A,Honorable Mention,41
32607,Qian Yin,B,Honorable Mention,50
32608,Peixing Li,B,Successful Participant,28
32609,Jianxin Wu,A,Meritorious,57
32610,Jianqiu Chen,D,Honorable Mention,41
32611,Xinhua Jiang,D,Meritorious,41
32612,Peixing Li,A,Honorable Mention,28
32613,Yanhui Guan,A,Honorable Mention,28
32614,Ninghua Tong,A,Honorable Mention,39
32615,Liling Xie,A,Successful Participant,33
32616,Maoqiang Xie,B,Meritorious,9
32617,Lianzu Jiao,D,Honorable Mention,33
32618,Dongyun Du,B,Meritorious,41
32619,Haibing Xie,A,Successful Participant,41
32620,Guosheng Cheng,D,Finalist,123
32621,Jianxin Zhu,A,Honorable Mention,63
32622,Juan Zhou,A,Successful Participant,41
32623,Yin Chen,A,Successful Participant,41
32624,Dai Dai,A,Honorable Mention,16
32625,Lan Ding,D,Honorable Mention,41
32626,Paul Isihara,B,Successful Participant,124
32627,Wande Fan,A,Honorable Mention,9
32628,Fubin Wang,A,Successful Participant,125
32629,Xin He,A,Honorable Mention,126
32630,Xinchao Zhao,A,Honorable Mention,6
32631,Xinchao Zhao,B,Successful Participant,6
32632,Guifeng Yan,A,Successful Participant,103
32633,Yanbing Fang,A,Honorable Mention,127
32634,Zhi-Chao Shao,D,Honorable Mention,41
32635,Qiru Wang,A,Successful Participant,28
32636,Yanmao Chen,A,Successful Participant,28
32637,Jing Wang,B,Successful Participant,128
32638,Zhihui Zhan,A,Meritorious,28
32639,Ruilin Liu,A,Successful Participant,41
32640,Lianxin Wei,A,Successful Participant,107
32641,Xin Wei,B,Successful Participant,129
32642,Li Cui,B,Meritorious,50
32643,Zhongtang Chen,A,Honorable Mention,37
32644,Zhongtang Chen,C,Successful Participant,37
32646,Changchun Sun,A,Successful Participant,37
32647,Ying Yu,D,Honorable Mention,37
32648,Qicheng Xu,A,Successful Participant,37
32649,Enliang Zhao,A,Successful Participant,37
32650,Hong Qiao,C,Honorable Mention,41
32651,Hongchu Wang,D,Successful Participant,33
32652,Jinzhao Zhang,A,Successful Participant,41
32653,Chunjie Wu,B,Successful Participant,8
32654,Dongmei Yang,D,Successful Participant,41
32655,XIAOYU NIU,A,Meritorious,41
32656,Yang Weng,A,Successful Participant,3
32657,ZHENG MA,B,Meritorious,130
32658,QINGXIA GAO,A,Successful Participant,41
32659,Yanling Su,A,Successful Participant,41
32660,yun xu,A,Successful Participant,41
32661,Yuhan Fu,A,Successful Participant,41
32662,Jiahuan Li,C,Honorable Mention,41
32663,Shuxi Wang,D,Honorable Mention,41
32664,Zheng Wang,D,Honorable Mention,25
32665,Yanhui Guan,A,Successful Participant,28
32666,Wu Qianhong,A,Unsuccessful,1
32668,FANGFANG LIU,D,Honorable Mention,6
32669,Xiangjun Li,D,Meritorious,131
32670,Shilin Zhang,A,Honorable Mention,41
32671,Chunzheng Cao,A,Meritorious,132
32672,Chun-Zheng Cao,A,Meritorious,132
32673,Chun-Zheng Cao,A,Honorable Mention,132
32674,Baodong LIU,D,Successful Participant,121
32675,Qiang Yao,A,Successful Participant,66
32676,Qiru Wang,B,Successful Participant,28
32677,Xiaolong Jiang,B,Successful Participant,28
32678,Xuehong Zhi,D,Honorable Mention,41
32679,Yuqiang Li,A,Successful Participant,66
32680,Jiangming Sun,A,Honorable Mention,16
32681,ZI-KE ZHANG,C,Successful Participant,133
32682,Jing Li,A,Successful Participant,9
32683,Zhongtang Chen,A,Honorable Mention,37
32684,Fuzhong Wang,C,Successful Participant,37
32685,Enliang Zhao,A,Successful Participant,37
32686,Enliang Zhao,A,Successful Participant,37
32687,Lihua Sun,A,Successful Participant,37
32688,Lihua Sun,A,Successful Participant,37
32689,Lihua Sun,A,Successful Participant,37
32690,Li Zheng,A,Successful Participant,37
32691,LiZhuo Zhang,A,Honorable Mention,41
32692,Chen GongLiang,A,Honorable Mention,69
32693,SHUYAN CAO,A,Meritorious,41
32694,Zhonghao Xu,A,Honorable Mention,66
32695,Yin Chen,A,Meritorious,100
32696,YIN CHEN,A,Successful Participant,41
32697,Meisong Tong,B,Honorable Mention,22
32698,Lizhuo Zhang,A,Successful Participant,41
32699,Tianyi Wang,B,Honorable Mention,115
32700,xiaomin wang,A,Honorable Mention,69
32701,DING CHUAN,A,Meritorious,16
32702,Wenlian Ma,B,Successful Participant,134
32703,Zhengyao Li,B,Successful Participant,131
32704,SUMIN - HAO,B,Successful Participant,113
32705,Changna Lu,A,Successful Participant,132
32706,Changna Lu,B,Successful Participant,132
32707,Fengli Song,A,Successful Participant,123
32708,Hongmei Zhao,C,Successful Participant,9
32709,Chang-Na Lu,A,Honorable Mention,132
32710,Fengli Song,D,Successful Participant,123
32711,Guoxing Fang,D,Successful Participant,41
